"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:24:35","0.1000%","0%","0%","2.40%","2.10%","2.80%","9.40%","344 MiB","2.03 GB/s","0 kB/s","11.2 kB/s","1.27 GB/s","0 kB/s","2.04 GB/s","1680409475000"
"2023-04-02 11:24:40","0.1000%","0%","0%","2.40%","2.10%","2.80%","9.40%","344 MiB","2.03 GB/s","0 kB/s","11.2 kB/s","1.27 GB/s","0 kB/s","2.04 GB/s","1680409480000"
"2023-04-02 11:24:45","0%","0%","0%","4.70%","5.30%","5.50%","7.30%","344 MiB","1.25 GB/s","0 kB/s","5.60 kB/s","889 MB/s","0 kB/s","1.27 GB/s","1680409485000"
"2023-04-02 11:24:50","0%","0%","0%","4.70%","5.30%","5.50%","7.30%","344 MiB","1.25 GB/s","0 kB/s","5.60 kB/s","889 MB/s","0 kB/s","1.27 GB/s","1680409490000"
"2023-04-02 11:24:55","0%","0%","0%","3.90%","5.30%","4.80%","3.60%","344 MiB","237 MB/s","0 kB/s","11.8 kB/s","204 MB/s","0 kB/s","244 MB/s","1680409495000"
"2023-04-02 11:25:00","0%","0%","0%","3.90%","5.30%","4.80%","3.60%","344 MiB","237 MB/s","0 kB/s","11.8 kB/s","204 MB/s","0 kB/s","244 MB/s","1680409500000"
"2023-04-02 11:25:05","0.1000%","0%","0%","4.20%","6.80%","3.60%","6.60%","344 MiB","1.09 GB/s","0 kB/s","11.2 kB/s","712 MB/s","0 kB/s","1.10 GB/s","1680409505000"
"2023-04-02 11:25:10","0.1000%","0%","0%","4.20%","6.80%","3.60%","6.60%","344 MiB","1.09 GB/s","0 kB/s","11.2 kB/s","712 MB/s","0 kB/s","1.10 GB/s","1680409510000"
"2023-04-02 11:25:15","0%","0%","0%","3.30%","5.30%","3.10%","8.50%","344 MiB","2.16 GB/s","0 kB/s","17.5 kB/s","1.37 GB/s","0 kB/s","2.17 GB/s","1680409515000"
"2023-04-02 11:25:20","0%","0%","0%","3.30%","5.30%","3.10%","8.50%","344 MiB","2.16 GB/s","0 kB/s","17.5 kB/s","1.37 GB/s","0 kB/s","2.17 GB/s","1680409520000"
"2023-04-02 11:25:25","0%","0%","0%","3.10%","3.70%","2.80%","8.80%","339 MiB","2.18 GB/s","0 kB/s","22.4 kB/s","1.40 GB/s","0 kB/s","2.18 GB/s","1680409525000"
"2023-04-02 11:25:30","0%","0%","0%","3.10%","3.70%","2.80%","8.80%","339 MiB","2.18 GB/s","0 kB/s","22.4 kB/s","1.40 GB/s","0 kB/s","2.18 GB/s","1680409530000"
"2023-04-02 11:25:35","0%","0%","0%","1.50%","1.80%","1.20%","6.70%","339 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.22 GB/s","0 kB/s","2.00 GB/s","1680409535000"
"2023-04-02 11:25:40","0%","0%","0%","1.50%","1.80%","1.20%","6.70%","339 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.22 GB/s","0 kB/s","2.00 GB/s","1680409540000"
"2023-04-02 11:25:45","0%","0%","0%","3.40%","3.20%","3.90%","14.2%","339 MiB","4.20 GB/s","0 kB/s","11.2 kB/s","2.59 GB/s","0 kB/s","4.21 GB/s","1680409545000"
"2023-04-02 11:25:50","0%","0%","0%","3.40%","3.20%","3.90%","14.2%","339 MiB","4.20 GB/s","0 kB/s","11.2 kB/s","2.59 GB/s","0 kB/s","4.21 GB/s","1680409550000"
"2023-04-02 11:25:55","0%","0%","0%","4.20%","5.70%","3.50%","3.70%","339 MiB","225 MB/s","0 kB/s","6 kB/s","216 MB/s","0 kB/s","233 MB/s","1680409555000"
"2023-04-02 11:26:00","0%","0%","0%","4.20%","5.70%","3.50%","3.70%","339 MiB","225 MB/s","0 kB/s","6 kB/s","216 MB/s","0 kB/s","233 MB/s","1680409560000"
