sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 01:41:30,135 kB/s,0 kB/s,17 kB/s,132 kB/s,0 kB/s,139 kB/s
2023-02-08 01:41:45,603 kB/s,0 kB/s,52.4 kB/s,498 kB/s,0 kB/s,619 kB/s
2023-02-08 01:42:00,300 kB/s,0 kB/s,63.5 kB/s,264 kB/s,0 kB/s,311 kB/s
2023-02-08 01:42:15,542 kB/s,0 kB/s,77.7 kB/s,453 kB/s,0 kB/s,556 kB/s
2023-02-08 01:42:30,239 kB/s,0 kB/s,52.3 kB/s,222 kB/s,0 kB/s,249 kB/s
2023-02-08 01:42:45,564 kB/s,0 kB/s,62.7 kB/s,468 kB/s,0 kB/s,581 kB/s
2023-02-08 01:43:00,424 kB/s,0 kB/s,52.2 kB/s,361 kB/s,0 kB/s,435 kB/s
2023-02-08 01:43:15,5.20 kB/s,0 kB/s,18.6 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:43:30,345 kB/s,0 kB/s,57.9 kB/s,299 kB/s,0 kB/s,356 kB/s
2023-02-08 01:43:45,544 kB/s,0 kB/s,63.4 kB/s,449 kB/s,0 kB/s,558 kB/s
